検査日,2019/02/14,,,,,,,,,,
開始時刻,16:49:46,終了時刻,16:53:38,,,,,,,,
IDNo.,15,,,,,,,,,,
製品名,Sample_02,,,,,,,,,,
コード,,,,,,,,,,,
検査レベル,,,,,,,,,,,
材質,,,,,,,,,,,
特徴,,,,,,,,,,,
印刷面,,,,,,,,,,,
周長,,,,,,,,,,,
基準方向,,,,,,,,,,,
タイミング,,,,,,,,,,,
作業番号,,,,,,,,,,,
ロットNo.,__1,,,,,,,,,,
検査幅[mm],622,,,,,,,,,,
検査開始位置[mm],15,検査終了位置[mm],637,,,,,,,,
列数,1,,,,,,,,,,
周長[mm],505.6,2逓倍,0,,,,,,,,
検査距離[m],189.1,,,,,,,,,,
照明設定,No.1,ON ,60,No.2,ON ,60,No.3,ON ,30,,
検査レベル　通常領域,点比較,色差,0,サイズ[mmsq.],0,,,,,,
,面比較,色差,0,サイズ[mmsq.],0,,,,,,
,スジ検出,色差,0,サイズ[mmsq.],0,,,,,,
,[ 無効 ],,,,,,,,,,
検査レベル　領域Ｂ,点比較,色差,0,サイズ[mmsq.],0,,,,,,
,面比較,色差,0,サイズ[mmsq.],0,,,,,,
,スジ検出,色差,0,サイズ[mmsq.],0,,,,,,
,[ 無効 ],,,,,,,,,,
検査レベル　領域C,点比較,色差,0,サイズ[mmsq.],0,,,,,,
,面比較,色差,0,サイズ[mmsq.],0,,,,,,
,スジ検出,色差,0,サイズ[mmsq.],0,,,,,,
,[ 無効 ],,,,,,,,,,
印刷面,表刷り,,,,,,,,,,
Ref画像更新モード,ﾌﾚｰﾑ毎更新,,,,,,,,,,
タイミング設定,内部,,,,,,,,,,
欠点検出数,142,,0,,,,,,,,
No.,周期内欠点数,X[mm],Y[m],サイズ[mmsq.],,検出領域,ランク,判定,欠点種別,ラベル,
1,2,700.8,33.2,5.7,1,A (通常),中欠点 (中/ 軽 ),-,,-,
2,1,827.3,33.6,1.5,1,A (通常),軽欠点 (軽 ),-,,-,
3,3,700.8,33.9,8.2,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
4,5,700.8,34.4,6.4,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
5,5,700.8,34.9,6.5,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
6,3,700.8,35.5,6.4,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
7,4,885.7,37.6,1.5,1,A (通常),軽欠点 (軽 ),-,,-,
8,5,914.8,44.6,1.5,1,A (通常),軽欠点 (軽 ),-,,-,
9,5,807.8,45.1,3.6,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
10,5,414.3,45.7,2.6,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
11,5,356,46.1,1.6,1,A (通常),軽欠点 (軽 ),-,,-,
12,5,570,46.6,2.6,1,A (通常),中欠点 (中/ 軽 ),-,,-,
13,5,768.9,47.1,4.1,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
14,2,798.1,47.8,4.6,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
15,5,934.3,48.1,2,1,A (通常),中欠点 (中/ 軽 ),-,,-,
16,5,934.3,48.6,2.8,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
17,4,730,51.7,2.9,1,A (通常),中欠点 (中/ 軽 ),-,,-,
18,2,720.3,52.5,2.3,1,A (通常),中欠点 (中/ 軽 ),-,,-,
19,2,875.9,53.7,5.9,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
20,1,671.7,61.1,4,1,A (通常),中欠点 (中/ 軽 ),-,,-,
21,1,875.9,62.4,4.5,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
22,3,540.8,64,3.1,1,A (通常),中欠点 (中/ 軽 ),-,,-,
23,1,501.9,67,1.5,1,A (通常),軽欠点 (軽 ),-,,-,
24,2,671.7,67.3,1.9,1,A (通常),軽欠点 (軽 ),-,,-,
25,1,492.1,68,3.2,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
26,4,492.1,68.8,3,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
27,2,895.4,69.3,4.1,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
28,1,895.4,70.1,1.6,1,A (通常),軽欠点 (軽 ),-,,-,
29,3,433.8,71.3,2.6,1,A (通常),中欠点 (中/ 軽 ),-,,-,
30,1,433.8,71.3,2.6,1,A (通常),中欠点 (中/ 軽 ),-,,-,
31,2,424.1,72.1,5.9,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
32,1,424.1,72.6,4.1,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
33,2,414.3,73,1.6,1,A (通常),軽欠点 (軽 ),-,,-,
34,3,424.1,73.6,4,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
35,2,885.7,74.3,1.6,1,A (通常),軽欠点 (軽 ),-,,-,
36,2,662,74.4,2.6,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
37,5,492.1,75.1,2.9,1,A (通常),中欠点 (中/ 軽 ),-,,-,
38,5,375.4,75.6,3.6,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
39,5,662,75.9,7.9,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
40,2,895.4,76.6,5.4,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
41,5,905.1,77,9.1,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
42,3,895.4,77.6,5.6,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
43,1,365.7,78.2,2,1,A (通常),軽欠点 (軽 ),-,,-,
44,1,579.7,78.7,2.5,1,A (通常),中欠点 (中/ 軽 ),-,,-,
45,2,365.7,79.5,5.3,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
46,1,365.7,80,5.6,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
47,2,589.4,80.4,2.1,1,A (通常),軽欠点 (軽 ),-,,-,
48,2,875.9,86.2,2.7,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
49,1,394.9,92.5,2,1,A (通常),中欠点 (中/ 軽 ),-,,-,
50,1,618.6,99.3,2,1,A (通常),軽欠点 (軽 ),-,,-,
51,3,608.9,100.2,1.7,1,A (通常),軽欠点 (軽 ),-,,-,
52,2,618.6,101,2.9,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
53,4,778.7,101.3,1.8,1,A (通常),軽欠点 (軽 ),-,,-,
54,2,618.6,101.9,2.9,1,A (通常),中欠点 (中/ 軽 ),-,,-,
55,2,778.7,102.2,5.8,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
56,4,599.1,103.1,2.3,1,A (通常),中欠点 (中/ 軽 ),-,,-,
57,5,599.1,103.6,1.6,1,A (通常),軽欠点 (軽 ),-,,-,
58,2,385.1,103.8,2.1,1,A (通常),中欠点 (中/ 軽 ),-,,-,
59,5,375.4,104.3,3.5,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
60,4,375.4,104.8,3.4,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
61,1,375.4,105.3,3.4,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
62,5,404.6,106,3.4,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
63,5,414.3,106.9,2.8,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
64,3,570,107.5,3.1,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
65,3,579.7,108.4,2.8,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
66,1,827.3,108.8,2,1,A (通常),軽欠点 (軽 ),-,,-,
67,2,817.6,109.7,3.4,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
68,5,375.4,110,2.1,1,A (通常),軽欠点 (軽 ),-,,-,
69,4,827.3,110.5,1.5,1,A (通常),軽欠点 (軽 ),-,,-,
70,1,365.7,110.8,4.6,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
71,3,817.6,111.4,2.7,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
72,2,365.7,112.1,1.9,1,A (通常),軽欠点 (軽 ),-,,-,
73,1,817.6,112.4,2.1,1,A (通常),軽欠点 (軽 ),-,,-,
74,3,356,113,3.5,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
75,2,365.7,113.8,2.4,1,A (通常),中欠点 (中/ 軽 ),-,,-,
76,5,356,113.9,4.4,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
77,2,356,114.4,7.1,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
78,3,356,114.9,7.1,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
79,1,356,115.4,7.2,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
80,1,905.1,115.9,1.5,1,A (通常),軽欠点 (軽 ),-,,-,
81,5,394.9,119.5,7.2,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
82,1,895.4,120.4,8.3,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
83,3,385.1,120.4,1.6,1,A (通常),軽欠点 (軽 ),-,,-,
84,5,895.4,120.9,1.5,1,A (通常),軽欠点 (軽 ),-,,-,
85,1,895.4,121.4,1.5,1,A (通常),軽欠点 (軽 ),-,,-,
86,2,618.6,122.2,3.7,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
87,1,628.3,123.1,4.7,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
88,1,934.3,126.8,1.9,1,A (通常),軽欠点 (軽 ),-,,-,
89,2,739.8,133,1.5,1,A (通常),軽欠点 (軽 ),-,,-,
90,1,671.7,134.2,1.9,1,A (通常),軽欠点 (軽 ),-,,-,
91,2,700.8,136.5,2.6,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
92,5,647.8,142.1,5,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
93,5,482.4,144.8,3.1,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
94,2,501.9,145.6,2.8,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
95,3,570,145.9,4.1,1,A (通常),軽欠点 (軽 ),-,,-,
96,1,492.1,146.5,1.9,1,A (通常),軽欠点 (軽 ),-,,-,
97,2,934.3,146.8,3.8,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
98,1,934.3,147.7,1.8,1,A (通常),軽欠点 (軽 ),-,,-,
99,3,759.2,151.1,4.2,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
100,2,570,159.3,6,1,A (通常),軽欠点 (軽 ),-,,-,
101,1,453.2,160.1,2.4,1,A (通常),軽欠点 (軽 ),-,,-,
102,4,579.7,160.4,3.3,1,A (通常),軽欠点 (軽 ),-,,-,
103,1,924.6,161.3,2.2,1,A (通常),軽欠点 (軽 ),-,,-,
104,1,934.3,164,1.5,1,A (通常),軽欠点 (軽 ),-,,-,
105,1,924.6,165.7,1.7,1,A (通常),軽欠点 (軽 ),-,,-,
106,1,570,167.7,2.1,1,A (通常),軽欠点 (軽 ),-,,-,
107,2,394.9,172.2,1.7,1,A (通常),軽欠点 (軽 ),-,,-,
108,2,394.9,173.9,2.3,1,A (通常),軽欠点 (軽 ),-,,-,
109,1,443.5,174.5,2.7,1,A (通常),軽欠点 (軽 ),-,,-,
110,1,924.6,175.4,2.7,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
111,1,570,175.8,3,1,A (通常),軽欠点 (軽 ),-,,-,
112,2,570,176,2.8,1,A (通常),軽欠点 (軽 ),-,,-,
113,4,570,176.5,4.8,1,A (通常),中欠点 (中/ 軽 ),-,,-,
114,2,560.2,183.6,1.7,1,A (通常),軽欠点 (軽 ),-,,-,
115,3,394.9,184,1.5,1,A (通常),軽欠点 (軽 ),-,,-,
116,4,404.6,184.2,2.4,1,A (通常),軽欠点 (軽 ),-,,-,
117,1,433.8,185.4,4.5,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
118,2,570,185.6,2.3,1,A (通常),軽欠点 (軽 ),-,,-,
119,2,570,186.1,6.7,1,A (通常),中欠点 (中/ 軽 ),-,,-,
120,1,453.2,187.2,1.8,1,A (通常),軽欠点 (軽 ),-,,-,
121,2,934.3,189.6,1.6,1,A (通常),軽欠点 (軽 ),-,,-,
122,1,570,190.4,1.8,1,A (通常),軽欠点 (軽 ),-,,-,
123,2,570,190.7,7.2,1,A (通常),中欠点 (中/ 軽 ),-,,-,
124,2,570,191.2,6.3,1,A (通常),中欠点 (中/ 軽 ),-,,-,
125,2,579.7,192.2,2,1,A (通常),軽欠点 (軽 ),-,,-,
126,3,895.4,194.7,2.9,1,A (通常),中欠点 (中/ 軽/ スジ ),-,,-,
127,1,453.2,199.4,2.3,1,A (通常),軽欠点 (軽 ),-,,-,
128,3,453.2,200.2,4.7,1,A (通常),軽欠点 (軽 ),-,,-,
129,5,443.5,200.4,5.1,1,A (通常),中欠点 (中/ 軽 ),-,,-,
130,1,560.2,201,2.6,1,A (通常),中欠点 (中/ 軽 ),-,,-,
131,5,638,201.4,1.5,1,A (通常),軽欠点 (軽 ),-,,-,
132,3,404.6,201.9,2,1,A (通常),軽欠点 (軽 ),-,,-,
133,1,570,203.5,1.5,1,A (通常),軽欠点 (軽 ),-,,-,
134,1,453.2,205.8,2,1,A (通常),軽欠点 (軽 ),-,,-,
135,1,647.8,206,3,1,A (通常),軽欠点 (軽 ),-,,-,
136,1,570,206.6,1.5,1,A (通常),軽欠点 (軽 ),-,,-,
137,2,404.6,209.6,2.2,1,A (通常),軽欠点 (軽 ),-,,-,
138,3,414.3,210,1.6,1,A (通常),軽欠点 (軽 ),-,,-,
139,4,414.3,210.5,2,1,A (通常),軽欠点 (軽 ),-,,-,
140,1,638,218.1,1.5,1,A (通常),軽欠点 (軽 ),-,,-,
141,4,394.9,218.6,2.9,1,A (通常),軽欠点 (軽 ),-,,-,
142,3,404.6,219.1,1.8,1,A (通常),軽欠点 (軽 ),-,,-,
見当誤差件数,0,,,,,,,,,,
日付,時刻,Y[m],操作,パラメータ1,パラメータ2,パラメータ3,パラメータ4,パラメータ5,パラメータ6,パラメータ7,パラメータ8
2019/02/14,16:49:46,25,検査開始,,,,,,,,
2019/02/14,16:52:20,152.9,検査レベル設定 変更,27,1.9,34,1.9,0,0,,
2019/02/14,16:52:21,153.4,検査レベル設定 変更,27,1.9,34,1.9,55,7.5,,